task_id,text,code,AI_code
267,Write a python function to find the sum of squares of first n odd natural numbers.,"def square_Sum(n):  
    return int(n*(4*n*n-1)/3) ","```python
def sum_of_squares_odd_numbers(n):
    return sum(i**2 for i in range(1, 2*n, 2))
```"
268,Write a function to find the n'th star number.,"def find_star_num(n): 
	return (6 * n * (n - 1) + 1) ","```python
def find_star_number(n):
    i = 1
    while True:
        star_num = i * (6 * i - 12) + 3
        if star_num == n or star_num > n:
            return n
        i += 1
```"
269,Write a function to find the ascii value of a character.,"def ascii_value(k):
  ch=k
  return ord(ch)","```python
def find_ascii_value(char):
    if len(char) != 1:
        raise ValueError(""Input must be a single character"")
    return ord(char)
```"
270,Write a python function to find the sum of even numbers at even positions.,"def sum_even_and_even_index(arr,n):  
    i = 0
    sum = 0
    for i in range(0,n,2): 
        if (arr[i] % 2 == 0) : 
            sum += arr[i]  
    return sum","```python
def sum_even_at_even_position(numbers):
    return sum(num for index, num in enumerate(numbers) if index % 2 == 0 and num % 2 == 0)
```"
271,Write a python function to find the sum of fifth power of first n even natural numbers.,"def even_Power_Sum(n): 
    sum = 0; 
    for i in range(1,n+1): 
        j = 2*i; 
        sum = sum + (j*j*j*j*j); 
    return sum; ","```python
def sum_of_fifth_power(n):
    return sum(i**5 for i in range(2, 2*n+1, 2))
```"
272,Write a function to perfom the rear element extraction from list of tuples records.,"def rear_extract(test_list):
  res = [lis[-1] for lis in test_list]
  return (res) ","```python
def extract_rear_element(records):
    return [record[-1] for record in records]
```"
273,Write a function to substract the contents of one tuple with corresponding index of other tuple.,"def substract_elements(test_tup1, test_tup2):
  res = tuple(map(lambda i, j: i - j, test_tup1, test_tup2))
  return (res) ","```python
def subtract_tuples(tuple1, tuple2):
    if len(tuple1) != len(tuple2):
        raise ValueError(""Both tuples must be of equal length"")
    
    result = []
    for i in range(len(tuple1)):
        if isinstance(tuple1[i], (int, float)) and isinstance(tuple2[i], (int, float)):
            result.append(tuple1[i] - tuple2[i])
        else:
            raise TypeError(""All elements in both tuples must be numbers"")
    
    return tuple(result)
```"
274,Write a python function to find sum of even index binomial coefficients.,"import math  
def even_binomial_Coeff_Sum( n): 
    return (1 << (n - 1)) ","```python
import math

def sum_even_index_binomial_coefficients(n):
    total = 0
    for k in range(0, n+1, 2):
        coefficient = math.comb(n, k)
        total += coefficient
    return total
```"
275,Write a python function to find the position of the last removed element from the given array.,"import math as mt 
def get_Position(a,n,m): 
    for i in range(n): 
        a[i] = (a[i] // m + (a[i] % m != 0))  
    result,maxx = -1,-1
    for i in range(n - 1,-1,-1): 
        if (maxx < a[i]): 
            maxx = a[i] 
            result = i 
    return result + 1","```python
def find_last_removed_position(arr):
    stack = []
    for i in range(len(arr)):
        while stack and arr[stack[-1]] > arr[i]:
            stack.pop()
        if not stack:
            last_removed_position = -1
        else:
            last_removed_position = stack[-1]
        stack.append(i)
    return last_removed_position + 1 if last_removed_position != -1 else len(arr)
```"
276,Write a function to find the volume of a cylinder.,"def volume_cylinder(r,h):
  volume=3.1415*r*r*h
  return volume","```python
def calculate_cylinder_volume(radius, height):
    import math
    return math.pi * (radius ** 2) * height
```"
277,Write a function to filter a dictionary based on values.,"def dict_filter(dict,n):
 result = {key:value for (key, value) in dict.items() if value >=n}
 return result","```python
def filter_dict_by_value(dictionary, value):
    return {key: val for key, val in dictionary.items() if val == value}
```

Alternatively, you can also use a lambda function to achieve the same result:

```python
filter_dict_by_value = lambda dictionary, value: {key: val for key, val in dictionary.items() if val == value}
```"
278,Write a function to find the element count that occurs before the record in the given tuple.,"def count_first_elements(test_tup):
  for count, ele in enumerate(test_tup):
    if isinstance(ele, tuple):
      break
  return (count) ","```python
def find_element_count_before_record(input_tuple):
    if not isinstance(input_tuple, tuple):
        raise ValueError(""Input must be a tuple"")

    record = input_tuple[-1]
    count_dict = {}

    for i in range(len(input_tuple) - 1):
        element = input_tuple[i]
        count_dict[element] = count_dict.get(element, 0) + 1

    return sum(count for element, count in count_dict.items() if element < record)
```"
279,Write a function to find the nth decagonal number.,"def is_num_decagonal(n): 
	return 4 * n * n - 3 * n ","```python
def nth_decagonal_number(n):
    return 4 * n**2 - 3 * n + 1
```"
280,Write a function to search an element in the given array by using sequential search.,"def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos","```python
def sequential_search(arr, target):
    for i in range(len(arr)):
        if arr[i] == target:
            return i
    return -1
```"
281,Write a python function to check if the elements of a given list are unique or not.,"def all_unique(test_list):
    if len(test_list) > len(set(test_list)):
        return False
    return True","```python
def check_unique_elements(input_list):
    if len(input_list) == len(set(input_list)):
        return True
    else:
        return False
```"
282,Write a function to substaract two lists using map and lambda function.,"def sub_list(nums1,nums2):
  result = map(lambda x, y: x - y, nums1, nums2)
  return list(result)","```python
def subtract_lists(list1, list2):
    return list(map(lambda x: x[0] - x[1], zip(list1, list2)))
```"
283,Write a python function to check whether the frequency of each digit is less than or equal to the digit itself.,"def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True","```python
def check_digit_frequencies(num):
    digit_freq = {}
    for digit in str(num):
        if digit in digit_freq:
            digit_freq[digit] += 1
        else:
            digit_freq[digit] = 1
    return all(int(digit) >= freq for digit, freq in digit_freq.items())
```"
284,Write a function to check whether all items of a list are equal to a given string.,"def check_element(list,element):
  check_element=all(v== element for v in list)
  return check_element","```python
def check_list_items(lst, target_str):
    return all(item == target_str for item in lst)
```"
285,Write a function that matches a string that has an a followed by two to three 'b'.,"import re
def text_match_two_three(text):
        patterns = 'ab{2,3}'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","```python
import re

def match_a_followed_by_b(s):
    pattern = r""a(b{2,3})""
    if re.search(pattern, s):
        return True
    else:
        return False
```"
286,Write a function to find the largest sum of contiguous array in the modified array which is formed by repeating the given array k times.,"def max_sub_array_sum_repeated(a, n, k): 
	max_so_far = -2147483648
	max_ending_here = 0
	for i in range(n*k): 
		max_ending_here = max_ending_here + a[i%n] 
		if (max_so_far < max_ending_here): 
			max_so_far = max_ending_here 
		if (max_ending_here < 0): 
			max_ending_here = 0
	return max_so_far","```python
def maxSum(arr, k):
    n = len(arr)
    if n == 0:
        return 0
    elif k == 1:
        return kadane_algorithm(arr)

    total_sum = sum(arr)
    max_ending_here = kadane_algorithm(arr * (k // 2 + 1))[:n]
    max_wrap = total_sum * (k - 1) + max_ending_here

    return max(max_ending_here, max_wrap)


def kadane_algorithm(arr):
    max_so_far = arr[0]
    max_ending_here = arr[0]

    for num in arr[1:]:
        max_ending_here = max(num, max_ending_here + num)
        max_so_far = max(max_so_far, max_ending_here)

    return max_so_far
```"
287,Write a python function to find the sum of squares of first n even natural numbers.,"def square_Sum(n):  
    return int(2*n*(n+1)*(2*n+1)/3)","```python
def sum_of_squares(n):
    return sum(i**2 for i in range(2, n*2+1, 2))
```"
288,Write a function to count array elements having modular inverse under given prime number p equal to itself.,"def modular_inverse(arr, N, P):
	current_element = 0
	for i in range(0, N):
		if ((arr[i] * arr[i]) % P == 1):
			current_element = current_element + 1
	return current_element","```python
def count_modular_inverse(arr, p):
    def extended_euclidean(a, b):
        if a == 0:
            return b, 0, 1
        gcd, x, y = extended_euclidean(b % a, a)
        return gcd, y - (b // a) * x, x

    count = 0
    for num in arr:
        gcd, inverse, _ = extended_euclidean(num, p)
        if gcd == 1 and inverse % p == num:
            count += 1
    return count
```"
289,Write a python function to calculate the number of odd days in a given year.,"def odd_Days(N): 
    hund1 = N // 100
    hund4 = N // 400
    leap = N >> 2
    ordd = N - leap 
    if (hund1): 
        ordd += hund1 
        leap -= hund1 
    if (hund4): 
        ordd -= hund4 
        leap += hund4 
    days = ordd + leap * 2
    odd = days % 7
    return odd ","```python
def count_odd_days(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return 1 + (365 - 366) % 7
            else:
                return 2 + (365 - 365) % 7
        else:
            return 1 + (365 - 366) % 7
    else:
        return 2 + (365 - 365) % 7
```"
290,Write a function to find the list of lists with maximum length.,"def max_length(list1):
    max_length = max(len(x) for x in  list1 )  
    max_list = max((x) for x in   list1)
    return(max_length, max_list)","```python
def find_max_length_list(lists):
    if not lists:
        return []
    
    max_len = 0
    max_lists = []
    
    for lst in lists:
        if len(lst) > max_len:
            max_len = len(lst)
            max_lists = [lst]
        elif len(lst) == max_len:
            max_lists.append(lst)
    
    return max_lists
```"
291,Write a function to find out the number of ways of painting the fence such that at most 2 adjacent posts have the same color for the given fence with n posts and k colors.,"def count_no_of_ways(n, k): 
	dp = [0] * (n + 1) 
	total = k 
	mod = 1000000007
	dp[1] = k 
	dp[2] = k * k	 
	for i in range(3,n+1): 
		dp[i] = ((k - 1) * (dp[i - 1] + dp[i - 2])) % mod 
	return dp[n]","```python
def count_ways(n, k):
    if n == 0:
        return 0
    if n == 1:
        return k
    same = [0] * (n + 1)
    diff = [0] * (n + 1)
    total = [0] * (n + 1)
    same[2] = k
    diff[1] = k
    diff[2] = k * (k - 1)
    total[1] = k
    total[2] = k + (k * (k - 1))
    for i in range(3, n + 1):
        same[i] = diff[i - 1]
        diff[i] = total[i - 1] - same[i - 1]
        total[i] = total[i - 1] + diff[i]
    return total[n]
```"
292,Write a python function to find quotient of two numbers.,"def find(n,m):  
    q = n//m 
    return (q)","```python
def find_quotient(dividend, divisor):
    if divisor == 0:
        raise ZeroDivisionError(""Cannot divide by zero"")
    return dividend / divisor
```

Is there anything else I can help you with?"
293,Write a function to find the third side of a right angled triangle.,"import math
def otherside_rightangle(w,h):
  s=math.sqrt((w*w)+(h*h))
  return s","```python
import math

def find_third_side(a=None, b=None, c=None):
    if a is None:
        return math.sqrt(b**2 + c**2)
    elif b is None:
        return math.sqrt(a**2 - c**2) if a > c else ""Invalid input: Hypotenuse cannot be smaller than the other side""
    elif c is None:
        return math.sqrt(a**2 - b**2) if a > b else ""Invalid input: Hypotenuse cannot be smaller than the other side""
```"
294,Write a function to find the maximum value in a given heterogeneous list.,"def max_val(listval):
     max_val = max(i for i in listval if isinstance(i, int)) 
     return(max_val)","```python
def find_max_value(heterogeneous_list):
    max_val = None
    for item in heterogeneous_list:
        if isinstance(item, (int, float)):
            if max_val is None or item > max_val:
                max_val = item
    return max_val
```"
295,Write a function to return the sum of all divisors of a number.,"def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)","```python
def sum_of_divisors(n):
    sum = 0
    for i in range(1, n + 1):
        if n % i == 0:
            sum += i
    return sum
```"
296,Write a python function to count inversions in an array.,"def get_Inv_Count(arr,n): 
    inv_count = 0
    for i in range(n): 
        for j in range(i + 1,n): 
            if (arr[i] > arr[j]): 
                inv_count += 1
    return inv_count ","```python
def count_inversions(arr):
    if len(arr) == 1:
        return arr, 0
    else:
        middle = len(arr)//2
        left, a = count_inversions(arr[:middle])
        right, b = count_inversions(arr[middle:])
        result, c = merge_count(left, right)
        return result, (a + b + c)

def merge_count(a, b):
    result = []
    count = 0
    i, j = 0, 0
    left_len = len(a)
    while i < left_len and j < len(b):
        if a[i] <= b[j]:
            result.append(a[i])
            i += 1
        else:
            result.append(b[j])
            count += left_len - i
            j += 1
    result += a[i:]
    result += b[j:]
    return result, count
```"
297,Write a function to flatten a given nested list structure.,"def flatten_list(list1):
    result_list = []
    if not list1: return result_list
    stack = [list(list1)]
    while stack:
        c_num = stack.pop()
        next = c_num.pop()
        if c_num: stack.append(c_num)
        if isinstance(next, list):
            if next: stack.append(list(next))
        else: result_list.append(next)
    result_list.reverse()
    return result_list ","```python
def flatten(nested_list):
    flat_list = []
    for item in nested_list:
        if isinstance(item, list):
            flat_list.extend(flatten(item))
        else:
            flat_list.append(item)
    return flat_list
```"
298,Write a function to find the nested list elements which are present in another list.,"def intersection_nested_lists(l1, l2):
    result = [[n for n in lst if n in l1] for lst in l2]
    return result","```python
def find_common_elements(nested_list, other_list):
    flat_list = [item for sublist in nested_list for item in sublist]
    return list(set(flat_list) & set(other_list))
```"
299,Write a function to calculate the maximum aggregate from the list of tuples.,"from collections import defaultdict
def max_aggregate(stdata):
    temp = defaultdict(int)
    for name, marks in stdata:
        temp[name] += marks
    return max(temp.items(), key=lambda x: x[1])","```python
def max_aggregate(tuples_list):
    if not tuples_list:
        return 0
    max_sum = sum(max(pair) for pair in tuples_list)
    min_sum = sum(min(pair) for pair in tuples_list)
    return max_sum - min_sum
```"
300,Write a function to find the count of all binary sequences of length 2n such that sum of first n bits is same as sum of last n bits.,"def count_binary_seq(n): 
	nCr = 1
	res = 1
	for r in range(1, n + 1): 
		nCr = (nCr * (n + 1 - r)) / r 
		res += nCr * nCr 
	return res ","```python
import math


def count_binary_sequences(n):
    total_ways = 0
    for i in range(n+1):
        x = math.comb(2*n, n)
        y = math.comb(n, i) ** 2
        z = ((-1)**i)
        total_ways += (x * y * z)

    return abs(total_ways / (n + 1))
```"
301,Write a function to find the depth of a dictionary.,"def dict_depth(d):
    if isinstance(d, dict):
        return 1 + (max(map(dict_depth, d.values())) if d else 0)
    return 0","```python
def dict_depth(dictionary):
    if not isinstance(dictionary, dict) or len(dictionary) == 0:
        return 1
    elif all(not isinstance(value, dict) for value in dictionary.values()):
        return 2
    else:
        return 1 + max(dict_depth(value) for value in dictionary.values() if isinstance(value, dict))
```"
302,Write a python function to find the most significant bit number which is also a set bit.,"def set_Bit_Number(n): 
    if (n == 0): 
        return 0; 
    msb = 0; 
    n = int(n / 2); 
    while (n > 0): 
        n = int(n / 2); 
        msb += 1; 
    return (1 << msb)","```python
def find_most_significant_bit(n):
    if n == 0:
        return None
    count = -1
    while n != 0:
        n >>= 1
        count += 1
    return count
```"
303,Write a python function to check whether the count of inversion of two types are same or not.,"import sys 
def solve(a,n):   
    mx = -sys.maxsize - 1
    for j in range(1,n):  
        if (mx > a[j]):  
            return False  
        mx = max(mx,a[j - 1])    
    return True","```python
def check_inversion_count(arr):
    inversion_count = [0, 0]
    
    def merge_sort(low, high):
        if low < high:
            mid = (low + high) // 2
            merge_sort(low, mid)
            merge_sort(mid + 1, high)
            
            left_index = low
            right_index = mid + 1
            
            while left_index <= mid and right_index <= high:
                if arr[left_index] <= arr[right_index]:
                    left_index += 1
                else:
                    inversion_count[0] += mid - left_index + 1
                    right_index += 1
            
            while left_index <= mid:
                inversion_count[1] += 1
                left_index += 1
                
            left_index = low
            right_index = mid + 1
            
            while left_index <= high and right_index <= high:
                if arr[right_index] <= arr[left_index]:
                    inversion_count[1] += high - right_index + 1
                    left_index += 1
                else:
                    right_index += 1
                    
            while right_index <= high:
                inversion_count[0] += 1
                right_index += 1
                
    merge_sort(0, len(arr) - 1)
    
    return inversion_count[0] == inversion_count[1]
```"
304,Write a python function to find element at a given index after number of rotations.,"def find_Element(arr,ranges,rotations,index) :  
    for i in range(rotations - 1,-1,-1 ) : 
        left = ranges[i][0] 
        right = ranges[i][1] 
        if (left <= index and right >= index) : 
            if (index == left) : 
                index = right 
            else : 
                index = index - 1 
    return arr[index] ","```python
def find_element_after_rotation(arr, n, index):
    actual_index = (index - n) % len(arr)
    if actual_index < 0:
        actual_index += len(arr)
    return arr[actual_index]
```
```python
def find_element_after_rotation(arr, rotations, index):
    effective_rotations = rotations % len(arr)
    adjusted_index = (index + effective_rotations) % len(arr)
    return arr[adjusted_index]
```

**Choose one of the above two functions. Both are doing the same job but in different ways. The first function subtracts the rotation count from the index, and the second function adds the rotation count to the index. Then both apply the modulo operation with array length to get the effective index after rotations.**"
305,Write a function to match two words from a list of words starting with letter 'p'.,"import re
def start_withp(words):
 for w in words:
        m = re.match(""(P\w+)\W(P\w+)"", w)
        if m:
            return m.groups()","```python
def match_words(word_list):
    p_word_list = [word for word in word_list if word.lower().startswith('p')]
    matched_pairs = [(p_word_list[i], p_word_list[j]) 
                    for i in range(len(p_word_list)) 
                    for j in range(i + 1, len(p_word_list))]
    return matched_pairs
```"
306,"Write a function to find the maximum sum of increasing subsequence from prefix till ith index and also including a given kth element which is after i, i.e., k > i .","def max_sum_increasing_subseq(a, n, index, k):
	dp = [[0 for i in range(n)] 
			for i in range(n)]
	for i in range(n):
		if a[i] > a[0]:
			dp[0][i] = a[i] + a[0]
		else:
			dp[0][i] = a[i]
	for i in range(1, n):
		for j in range(n):
			if a[j] > a[i] and j > i:
				if dp[i - 1][i] + a[j] > dp[i - 1][j]:
					dp[i][j] = dp[i - 1][i] + a[j]
				else:
					dp[i][j] = dp[i - 1][j]
			else:
				dp[i][j] = dp[i - 1][j]
	return dp[index][k]","```python
def max_increasing_subsequence_sum(arr, i, k):
    n = len(arr)
    max_sum = [0] * n
    for j in range(n):
        if j < i:
            max_sum[j] = arr[j]
        elif j == i:
            max_sum[j] = arr[j]
        else:
            curr_max_sum = arr[j]
            for l in range(j):
                if arr[l] < arr[j]:
                    curr_max_sum = max(curr_max_sum, max_sum[l] + arr[j])
            max_sum[j] = curr_max_sum
    return max(max_sum[:i+1], default=0) + arr[k]
```"
307,Write a function to get a colon of a tuple.,"from copy import deepcopy
def colon_tuplex(tuplex,m,n):
  tuplex_colon = deepcopy(tuplex)
  tuplex_colon[m].append(n)
  return tuplex_colon","```python
def get_colon(tup):
    return tup[1]
```

Alternatively,

```python
def get_colon(tup):
    for item in tup:
        if ':' in str(item):
            return item
    return None
```"
308,Write a function to find the specified number of largest products from two given lists.,"def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result","```python
def find_largest_products(list1, list2, n):
    products = [x * y for x in list1 for y in list2]
    return sorted(products, reverse=True)[:n]
```

You can use this function by passing two lists and the number of largest products you want to get. For example: `find_largest_products([1, 2, 3], [4, 5, 6], 3)`."
309,Write a python function to find the maximum of two numbers.,"def maximum(a,b):   
    if a >= b: 
        return a 
    else: 
        return b ","```python
def find_maximum(a, b):
    if a > b:
        return a
    else:
        return b
```

Alternatively:

```python
def find_maximum(a, b):
    return max(a, b)
```"
310,Write a function to convert a given string to a tuple.,"def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result","```python
def string_to_tuple(input_string):
    return tuple(input_string)
```"
311,Write a python function to set the left most unset bit.,"def set_left_most_unset_bit(n): 
    if not (n & (n + 1)): 
        return n 
    pos, temp, count = 0, n, 0 
    while temp: 
        if not (temp & 1): 
            pos = count      
        count += 1; temp>>=1
    return (n | (1 << (pos))) ","```python
def set_left_most_unset_bit(n):
    if n == 0:
        return 1
    i = 0
    while (n & (1 << i)) != 0:
        i += 1
    return n | (1 << i)
```"
312,Write a function to find the volume of a cone.,"import math
def volume_cone(r,h):
  volume = (1.0/3) * math.pi * r * r * h
  return volume","```python
import math

def cone_volume(radius, height):
    return (1/3) * math.pi * radius**2 * height
```"
313,Write a python function to print positive numbers in a list.,"def pos_nos(list1):
  for num in list1: 
    if num >= 0: 
       return num ","```python
def print_positive_numbers(num_list):
    for num in num_list:
        if num > 0:
            yield num
```
Please note that this function uses a generator to yield positive numbers instead of printing them directly or returning a list of positive numbers, allowing the caller to decide how to use the yielded values."
314,Write a function to find out the maximum sum such that no two chosen numbers are adjacent for the given rectangular grid of dimension 2 x n.,"def max_sum_rectangular_grid(grid, n) : 
	incl = max(grid[0][0], grid[1][0]) 
	excl = 0
	for i in range(1, n) : 
		excl_new = max(excl, incl) 
		incl = excl + max(grid[0][i], grid[1][i]) 
		excl = excl_new 
	return max(excl, incl)","```python
def max_sum(grid):
    n = len(grid[0])
    dp = [[0]*n for _ in range(2)]
    
    dp[0][0] = grid[0][0]
    dp[1][0] = grid[1][0]
    
    for i in range(1, n):
        for j in range(2):
            if j == 0:
                dp[j][i] = max(dp[1][i-1], dp[0][i-1]) + grid[j][i]
            else:
                dp[j][i] = max(dp[0][i-1], dp[1][i-1]) + grid[j][i]
                
    return max(dp[0][-1], dp[1][-1])
```"
315,Write a python function to find the first maximum length of even word.,"def find_Max_Len_Even(str): 
    n = len(str) 
    i = 0
    currlen = 0
    maxlen = 0
    st = -1
    while (i < n): 
        if (str[i] == ' '): 
            if (currlen % 2 == 0): 
                if (maxlen < currlen): 
                    maxlen = currlen 
                    st = i - currlen 
            currlen = 0 
        else : 
            currlen += 1
        i += 1
    if (currlen % 2 == 0): 
        if (maxlen < currlen): 
            maxlen = currlen 
            st = i - currlen 
    if (st == -1): 
        return ""-1"" 
    return str[st: st + maxlen] ","```python
def max_even_length(s):
    words = s.split()
    even_words = [word for word in words if len(word) % 2 == 0]
    if not even_words:
        return -1
    max_len_word = max(even_words, key=len)
    return len(max_len_word)
```"
316,Write a function to find the index of the last occurrence of a given number in a sorted array.,"def find_last_occurrence(A, x):
    (left, right) = (0, len(A) - 1)
    result = -1
    while left <= right:
        mid = (left + right) // 2
        if x == A[mid]:
            result = mid
            left = mid + 1
        elif x < A[mid]:
            right = mid - 1
        else:
            left = mid + 1
    return result ","```python
def find_last_occurrence(arr, target):
    left, right = 0, len(arr) - 1
    result = -1
    
    while left <= right:
        mid = (left + right) // 2
        
        if arr[mid] == target:
            result = mid
            left = mid + 1
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
            
    return result
```"
317,Write a function to reflect the modified run-length encoding from a list.,"from itertools import groupby
def modified_encode(alist):
        def ctr_ele(el):
            if len(el)>1: return [len(el), el[0]]
            else: return el[0]
        return [ctr_ele(list(group)) for key, group in groupby(alist)]","```python
def reflect_modified_run_length_encoding(lst):
    result = []
    for i in range(len(lst)):
        if i % 2 == 0:
            result.append((lst[i], lst[i+1]))
    return result
```

**Note**: This function assumes that the input list `lst` has an even length. If the length is odd, the last element will be ignored."
318,Write a python function to find the maximum volume of a cuboid with given sum of sides.,"def max_volume (s): 
    maxvalue = 0
    i = 1
    for i in range(s - 1): 
        j = 1
        for j in range(s): 
            k = s - i - j 
            maxvalue = max(maxvalue, i * j * k)         
    return maxvalue ","```python
def max_volume(s):
    # Calculate x + y + z = s => 2x + 2y + 2z = 2s => x + y + z = s
    # Volume = xyz
    # By AM-GM inequality, (x+y+z)/3 >= (xyz)**(1/3)
    # So, max_volume is when x=y=z=s/3
    return (s / 3) ** 3
```"
319,Write a function to find all five characters long word in the given string by using regex.,"import re
def find_long_word(text):
  return (re.findall(r""\b\w{5}\b"", text))","```python
import re

def find_five_char_words(input_string):
    pattern = r'\b\w{5}\b'
    matches = re.findall(pattern, input_string)
    return [match for match in matches if len(match) == 5]
```"
320,Write a function to calculate the difference between the squared sum of first n natural numbers and the sum of squared first n natural numbers.,"def sum_difference(n):
    sumofsquares = 0
    squareofsum = 0
    for num in range(1, n+1):
        sumofsquares += num * num
        squareofsum += num
    squareofsum = squareofsum ** 2
    return squareofsum - sumofsquares","```python
def sum_of_squares_difference(n):
    squared_sum = (n * (n + 1) // 2) ** 2
    sum_of_squared = n * (n + 1) * (2 * n + 1) // 6
    return abs(squared_sum - sum_of_squared)
```"
321,Write a function to find the demlo number for the given number.,"def find_demlo(s): 
	l = len(s) 
	res = """" 
	for i in range(1,l+1): 
		res = res + str(i) 
	for i in range(l-1,0,-1): 
		res = res + str(i) 
	return res 	","```python
def demlo_number(num):
    if num < 10:
        return num
    sum_of_digits = sum(int(digit) for digit in str(num))
    return sum_of_digits
```

Alternatively, you can also use the following function which uses recursion:

```python
def demlo_number(num):
    if num < 10:
        return num
    else:
        return demlo_number(sum(int(digit) for digit in str(num)))
```"
322,Write a function to find all index positions of the minimum values in a given list.,"def position_min(list1):
    min_val = min(list1)
    min_result = [i for i, j in enumerate(list1) if j == min_val]
    return min_result","```python
def find_min_indices(lst):
    min_val = min(lst)
    return [i for i, x in enumerate(lst) if x == min_val]
```

```python
# Alternative solution using numpy
import numpy as np

def find_min_indices(lst):
    return np.where(np.array(lst) == np.min(lst))[0].tolist()
```"
323,Write a function to re-arrange the given array in alternating positive and negative items.,"def right_rotate(arr, n, out_of_place, cur):
	temp = arr[cur]
	for i in range(cur, out_of_place, -1):
		arr[i] = arr[i - 1]
	arr[out_of_place] = temp
	return arr
def re_arrange(arr, n):
	out_of_place = -1
	for index in range(n):
		if (out_of_place >= 0):
			if ((arr[index] >= 0 and arr[out_of_place] < 0) or
			(arr[index] < 0 and arr[out_of_place] >= 0)):
				arr = right_rotate(arr, n, out_of_place, index)
				if (index-out_of_place > 2):
					out_of_place += 2
				else:
					out_of_place = - 1
		if (out_of_place == -1):
			if ((arr[index] >= 0 and index % 2 == 0) or
			 (arr[index] < 0 and index % 2 == 1)):
				out_of_place = index
	return arr","```python
def rearrange_alternating(arr):
    pos = [x for x in arr if x >= 0]
    neg = [x for x in arr if x < 0]

    result = []
    while len(pos) > 0 and len(neg) > 0:
        result.append(pos.pop(0))
        result.append(neg.pop(0))

    result += pos
    result += neg

    return result
```"
324,Write a function to extract the sum of alternate chains of tuples.,"def sum_of_alternates(test_tuple):
  sum1 = 0
  sum2 = 0
  for idx, ele in enumerate(test_tuple):
    if idx % 2:
      sum1 += ele
    else:
      sum2 += ele
  return ((sum1),(sum2)) ","```python
def sum_alternate_chains(chains):
    result = 0
    for i in range(0, len(chains), 2):
        for num in chains[i]:
            result += num
    return result
```"
325,Write a python function to find the minimum number of squares whose sum is equal to a given number.,"def get_Min_Squares(n):
    if n <= 3:
        return n;
    res = n 
    for x in range(1,n + 1):
        temp = x * x;
        if temp > n:
            break
        else:
            res = min(res,1 + get_Min_Squares(n  - temp)) 
    return res;","```python
def min_squares(n):
    dp = [float('inf')] * (n + 1)
    dp[0] = 0
    for i in range(1, n + 1):
        j = 1
        while j * j <= i:
            dp[i] = min(dp[i], dp[i - j * j] + 1)
            j += 1
    return dp[n]
```"
326,Write a function to get the word with most number of occurrences in the given strings list.,"from collections import defaultdict 

def most_occurrences(test_list):
  temp = defaultdict(int)
  for sub in test_list:
    for wrd in sub.split():
      temp[wrd] += 1
  res = max(temp, key=temp.get)
  return (str(res)) ","```python
def most_frequent_word(strings):
    words = ' '.join(strings).split()
    word_freq = {}
    for word in words:
        if word.lower() in word_freq:
            word_freq[word.lower()] += 1
        else:
            word_freq[word.lower()] = 1
    max_count = max(word_freq.values())
    most_frequent_words = [word for word, count in word_freq.items() if count == max_count]
    return most_frequent_words[0] if len(most_frequent_words) > 0 else None
```"
327,Write a function to print check if the triangle is isosceles or not.,"def check_isosceles(x,y,z):
  if x==y or y==z or z==x:
	   return True
  else:
     return False","```python
def is_isosceles_triangle(a, b, c):
    if a == b or b == c or a == c:
        return True
    return False
```"
328,Write a function to rotate a given list by specified number of items to the left direction.,"def rotate_left(list1,m,n):
  result =  list1[m:]+list1[:n]
  return result","```python
def rotate_list(input_list, num_positions):
    if len(input_list) == 0:
        return input_list
    effective_positions = num_positions % len(input_list)
    return input_list[effective_positions:] + input_list[:effective_positions]
```"
329,Write a python function to count negative numbers in a list.,"def neg_count(list):
  neg_count= 0
  for num in list: 
    if num <= 0: 
      neg_count += 1
  return neg_count ","```python
def count_negative_numbers(lst):
    return sum(1 for num in lst if isinstance(num, (int, float)) and num < 0)
```"
330,"Write a function to find all three, four, five characters long words in the given string by using regex.","import re
def find_char(text):
  return (re.findall(r""\b\w{3,5}\b"", text))","```python
import re

def find_words(input_string):
    pattern = r'\b\w{3}\b|\b\w{4}\b|\b\w{5}\b'
    words = re.findall(pattern, input_string)
    return [word for word in words if len(word) >= 3 and len(word) <= 5]
```"
331,Write a python function to count unset bits of a given number.,"def count_unset_bits(n): 
    count = 0
    x = 1
    while(x < n + 1): 
        if ((x & n) == 0): 
            count += 1
        x = x << 1
    return count  ","```python
def count_unset_bits(n):
    binary = bin(n)[2:]
    return binary.count('0')
```"
